Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_32_171,VGND,li1,86.0200,97.9200,0.000509
FILLER_32_159,VGND,li1,81.4200,97.9200,0.000489
FILLER_32_149,VGND,li1,74.2900,97.9200,0.000462
FILLER_32_141,VGND,li1,72.2200,97.9200,0.000451
FILLER_32_139,VGND,li1,69.6900,97.9200,0.000439
FILLER_32_133,VGND,li1,68.0800,97.9200,0.000429
FILLER_32_126,VGND,li1,63.7100,97.9200,0.000415
FILLER_32_118,VGND,li1,61.6400,97.9200,0.000403
FILLER_32_97,VGND,li1,51.9800,97.9200,0.000333
FILLER_32_85,VGND,li1,47.3800,97.9200,0.000311
FILLER_32_83,VGND,li1,43.9300,97.9200,0.000286
FILLER_32_75,VGND,li1,41.8600,97.9200,0.000271
FILLER_32_63,VGND,li1,37.2600,97.9200,0.000236
FILLER_32_50,VGND,li1,29.4400,97.9200,0.000157
FILLER_31_243,VGND,li1,117.9900,97.9200,0.000585
FILLER_31_231,VGND,li1,112.0100,97.9200,0.000579
FILLER_31_225,VGND,li1,110.4000,97.9200,0.000579
FILLER_31_223,VGND,li1,108.3300,97.9200,0.000576
FILLER_31_215,VGND,li1,106.2600,97.9200,0.000572
FILLER_31_193,VGND,li1,94.7600,97.9200,0.000542
FILLER_31_181,VGND,li1,91.5400,97.9200,0.000527
FILLER_31_169,VGND,li1,86.0200,97.9200,0.000509
FILLER_31_160,VGND,li1,80.9600,97.9200,0.000489
FILLER_31_148,VGND,li1,76.3600,97.9200,0.000471
FILLER_31_137,VGND,li1,69.0000,97.9200,0.000439
FILLER_31_129,VGND,li1,66.7000,97.9200,0.000429
FILLER_31_111,VGND,li1,56.8100,97.9200,0.000367
FILLER_31_107,VGND,li1,55.6600,97.9200,0.000367
FILLER_31_97,VGND,li1,50.3700,97.9200,0.000333
FILLER_31_89,VGND,li1,48.3000,97.9200,0.000311
FILLER_31_63,VGND,li1,34.7300,97.9200,0.000215
FILLER_31_57,VGND,li1,33.1200,97.9200,0.000195
FILLER_31_53,VGND,li1,30.5900,97.9200,0.000179
FILLER_31_45,VGND,li1,28.0600,97.9200,0.000157
FILLER_31_28,VGND,li1,18.6300,97.9200,0.000155
FILLER_31_22,VGND,li1,17.0200,97.9200,0.000155
FILLER_31_3,VGND,li1,7.5900,97.9200,0.000165
FILLER_30_253,VGND,li1,122.1300,92.4800,0.000763
FILLER_30_228,VGND,li1,111.3200,92.4800,0.000755
FILLER_30_217,VGND,li1,106.2600,92.4800,0.000747
FILLER_30_195,VGND,li1,95.4500,92.4800,0.000723
FILLER_30_189,VGND,li1,93.8400,92.4800,0.000718
FILLER_30_177,VGND,li1,89.7000,92.4800,0.000707
FILLER_30_141,VGND,li1,70.8400,92.4800,0.000627
FILLER_30_138,VGND,li1,69.4600,92.4800,0.000614
FILLER_30_85,VGND,li1,45.0800,92.4800,0.000403
FILLER_30_41,VGND,li1,25.7600,92.4800,0.000149
FILLER_30_29,VGND,li1,21.6200,92.4800,0.000150
FILLER_30_24,VGND,li1,17.4800,92.4800,0.000151
FILLER_30_3,VGND,li1,9.6600,92.4800,0.000152
FILLER_29_256,VGND,li1,123.5100,92.4800,0.000763
FILLER_29_250,VGND,li1,121.9000,92.4800,0.000763
FILLER_29_229,VGND,li1,111.0900,92.4800,0.000755
FILLER_29_225,VGND,li1,109.9400,92.4800,0.000751
FILLER_29_221,VGND,li1,107.8700,92.4800,0.000747
FILLER_29_209,VGND,li1,104.4200,92.4800,0.000743
FILLER_29_197,VGND,li1,98.9000,92.4800,0.000732
FILLER_29_185,VGND,li1,93.3800,92.4800,0.000718
FILLER_29_129,VGND,li1,65.3200,92.4800,0.000591
FILLER_29_111,VGND,li1,56.8100,92.4800,0.000513
FILLER_29_105,VGND,li1,55.2000,92.4800,0.000513
FILLER_29_88,VGND,li1,46.2300,92.4800,0.000424
FILLER_29_84,VGND,li1,45.0800,92.4800,0.000403
FILLER_29_66,VGND,li1,36.3400,92.4800,0.000306
FILLER_29_55,VGND,li1,31.0500,92.4800,0.000219
FILLER_29_51,VGND,li1,29.9000,92.4800,0.000219
FILLER_29_39,VGND,li1,26.2200,92.4800,0.000149
FILLER_29_27,VGND,li1,20.7000,92.4800,0.000150
FILLER_29_15,VGND,li1,15.1800,92.4800,0.000152
FILLER_29_3,VGND,li1,9.6600,92.4800,0.000152
FILLER_28_253,VGND,li1,122.8200,87.0400,0.001261
FILLER_28_244,VGND,li1,119.6000,87.0400,0.001261
FILLER_28_203,VGND,li1,99.1300,87.0400,0.001228
FILLER_28_197,VGND,li1,97.5200,87.0400,0.001228
FILLER_28_192,VGND,li1,94.7600,87.0400,0.001220
FILLER_28_175,VGND,li1,87.4000,87.0400,0.001163
FILLER_28_157,VGND,li1,78.2000,87.0400,0.001064
FILLER_28_139,VGND,li1,69.6900,87.0400,0.000948
FILLER_28_131,VGND,li1,67.6200,87.0400,0.000920
FILLER_28_119,VGND,li1,63.0200,87.0400,0.000850
FILLER_28_104,VGND,li1,54.7400,87.0400,0.000724
FILLER_28_93,VGND,li1,48.7600,87.0400,0.000631
FILLER_28_85,VGND,li1,46.4600,87.0400,0.000595
FILLER_28_83,VGND,li1,43.9300,87.0400,0.000537
FILLER_28_79,VGND,li1,42.7800,87.0400,0.000537
FILLER_28_45,VGND,li1,27.1400,87.0400,0.000259
FILLER_28_27,VGND,li1,18.1700,87.0400,0.000236
FILLER_28_15,VGND,li1,13.1100,87.0400,0.000241
FILLER_28_3,VGND,li1,9.6600,87.0400,0.000241
FILLER_27_256,VGND,li1,123.5100,87.0400,0.001261
FILLER_27_248,VGND,li1,121.4400,87.0400,0.001261
FILLER_27_225,VGND,li1,109.7100,87.0400,0.001252
FILLER_27_223,VGND,li1,108.3300,87.0400,0.001248
FILLER_27_217,VGND,li1,106.7200,87.0400,0.001248
FILLER_27_205,VGND,li1,102.5800,87.0400,0.001241
FILLER_27_175,VGND,li1,87.4000,87.0400,0.001163
FILLER_27_167,VGND,li1,82.5700,87.0400,0.001104
FILLER_27_150,VGND,li1,74.7500,87.0400,0.001025
FILLER_27_137,VGND,li1,69.4600,87.0400,0.000948
FILLER_27_125,VGND,li1,65.7800,87.0400,0.000885
FILLER_27_113,VGND,li1,60.2600,87.0400,0.000808
FILLER_27_104,VGND,li1,55.2000,87.0400,0.000724
FILLER_27_92,VGND,li1,50.6000,87.0400,0.000660
FILLER_27_66,VGND,li1,36.8000,87.0400,0.000431
FILLER_27_48,VGND,li1,29.4400,87.0400,0.000302
FILLER_27_26,VGND,li1,17.7100,87.0400,0.000236
FILLER_27_9,VGND,li1,9.8900,87.0400,0.000241
FILLER_27_3,VGND,li1,8.2800,87.0400,0.000241
FILLER_26_253,VGND,li1,122.8200,81.6000,0.000977
FILLER_26_231,VGND,li1,112.0100,81.6000,0.000968
FILLER_26_219,VGND,li1,109.0200,81.6000,0.000963
FILLER_26_197,VGND,li1,96.6000,81.6000,0.000936
FILLER_26_184,VGND,li1,92.9200,81.6000,0.000929
FILLER_26_172,VGND,li1,87.4000,81.6000,0.000906
FILLER_26_164,VGND,li1,81.1900,81.6000,0.000877
FILLER_26_134,VGND,li1,68.5400,81.6000,0.000790
FILLER_26_124,VGND,li1,62.7900,81.6000,0.000739
FILLER_26_120,VGND,li1,61.6400,81.6000,0.000719
FILLER_26_113,VGND,li1,57.7300,81.6000,0.000677
FILLER_26_109,VGND,li1,56.5800,81.6000,0.000677
FILLER_26_99,VGND,li1,51.2900,81.6000,0.000624
FILLER_26_91,VGND,li1,49.2200,81.6000,0.000600
FILLER_26_83,VGND,li1,43.9300,81.6000,0.000522
FILLER_26_79,VGND,li1,42.7800,81.6000,0.000522
FILLER_26_64,VGND,li1,35.8800,81.6000,0.000427
FILLER_26_29,VGND,li1,19.5500,81.6000,0.000231
FILLER_26_25,VGND,li1,17.7100,81.6000,0.000233
FILLER_26_3,VGND,li1,8.2800,81.6000,0.000239
FILLER_25_256,VGND,li1,123.5100,81.6000,0.000977
FILLER_25_237,VGND,li1,115.2300,81.6000,0.000974
FILLER_25_225,VGND,li1,111.7800,81.6000,0.000968
FILLER_25_216,VGND,li1,106.7200,81.6000,0.000959
FILLER_25_204,VGND,li1,102.1200,81.6000,0.000950
FILLER_25_182,VGND,li1,89.4700,81.6000,0.000915
FILLER_25_169,VGND,li1,84.6400,81.6000,0.000887
FILLER_25_165,VGND,li1,82.1100,81.6000,0.000877
FILLER_25_123,VGND,li1,62.5600,81.6000,0.000739
FILLER_25_113,VGND,li1,58.1900,81.6000,0.000696
FILLER_25_109,VGND,li1,56.3500,81.6000,0.000677
FILLER_25_87,VGND,li1,45.7700,81.6000,0.000545
FILLER_25_83,VGND,li1,44.6200,81.6000,0.000545
FILLER_25_61,VGND,li1,33.8100,81.6000,0.000376
FILLER_25_57,VGND,li1,32.6600,81.6000,0.000376
FILLER_25_50,VGND,li1,29.9000,81.6000,0.000332
FILLER_25_26,VGND,li1,18.4000,81.6000,0.000233
FILLER_25_15,VGND,li1,12.8800,81.6000,0.000239
FILLER_25_3,VGND,li1,9.6600,81.6000,0.000239
FILLER_24_253,VGND,li1,122.1300,76.1600,0.001143
FILLER_24_250,VGND,li1,120.9800,76.1600,0.001143
FILLER_24_202,VGND,li1,100.2800,76.1600,0.001091
FILLER_24_168,VGND,li1,83.0300,76.1600,0.000975
FILLER_24_162,VGND,li1,81.4200,76.1600,0.000975
FILLER_24_139,VGND,li1,69.6900,76.1600,0.000857
FILLER_24_135,VGND,li1,68.5400,76.1600,0.000857
FILLER_24_118,VGND,li1,60.0300,76.1600,0.000755
FILLER_24_85,VGND,li1,45.3100,76.1600,0.000546
FILLER_24_76,VGND,li1,42.3200,76.1600,0.000514
FILLER_24_56,VGND,li1,32.2000,76.1600,0.000331
